id,name,age,email,username,score,gender
001,abdul,22,abdul@gmail.com,abdul334,50,male
002,saleh,34,saleh@gmail.com,saleh876,90,male
003,ibrahim,54,ibrahim@gmail.com,ibrahim223,68,male
004,usman,21,usman@gmail.com,usman990,79,male
005,bashir,27,bashir@gmail.com,bashir008,83,male
006,bello,30,bello@gmail.com,bello045,59,male
007,aisha,30,aisha@gmail.com,aisha354,86,female
008,fatima,28,fati@gmail.com,fati890,99,female
009,zainab,27,zainab@gmail.com,zainab987,57,female
010,asiya,33,asiya@gmail.com,asiya435,79,female
